16160,16160,eternal alliance,rock,0
16161,16285,evanescence,rock,7.9
16286,16431,everclear,rock,0.1
16432,16432,explosions in the sky,rock,0
16433,16517,extreme,rock,5.2
16518,16590,eyes set to kill,rock,0.1
16591,16709,faith no more,rock,1.6
16710,16875,fall out boy,rock,2.4
16876,16960,falling in reverse,rock,0.5
16961,16962,falling sets fire,rock,0
16963,17028,falling up,rock,0
17029,17032,filanos,rock,0
17033,17122,fiona apple,rock,0.2
17123,17215,fireflight,rock,0.4
17216,17216,fireheat,rock,0
17217,17218,fiuk,pop,0.3
17219,17493,fleetwood mac,rock,3.6
17494,17540,flying burrito brothers,rock,0
17541,17649,flyleaf,rock,0.3
17650,17837,foo fighters,rock,9.1
17838,17880,for all those sleeping,rock,0
17881,17887,forestside,rock,0
17888,17891,forfun,Pop,0.1
17892,17902,forty deuce,rock,0
17903,18012,franz ferdinand,rock,0.9
18013,18166,freddie mercury,rock,9.9
18167,18168,frejat,rock,3.5
18169,18169,fresno,rock,2.2
18170,18289,funeral for a friend,rock,0.1
18290,18443,garbage,rock,0.4
18444,18462,gene summers,rock,0
18463,18612,george michael,pop,5.1
18613,18632,glasvegas,rock,0
18633,18636,gloria,rock,0.6
18637,18646,godspeed you black emperor,rock,0
18647,18650,gold n soul,rock,0
18651,18655,golden duck orchestra,rock,0
18656,18844,goo goo dolls,rock,4
18845,18987,good charlotte,rock,0.8
18988,19135,gorillaz,rock,2.7
19136,19162,gram parsons,rock,0
19163,19296,grand funk railroad,rock,0.2
19297,19553,green day,rock,7.4
19554,19590,greta van fleet,rock,1.2
19591,19714,guns n roses,rock,23.6
19715,19718,gustavo goulart,rock,0
19719,19887,heart,rock,1.6
19888,19888,hevo84,Pop,0.1
19889,19918,hey monday,rock,0
19919,19984,high school musical,Pop,0.1
19985,20117,him,rock,0.4
20118,20185,hinder,rock,0.3
20186,20196,hollywood rose,rock,0
20197,20320,hollywood undead,rock,0.7
20321,20447,hoobastank,rock,2.2
20448,20448,hori,pop,0.3
20449,20451,hurry up,rock,0
20452,20578,ian dury and the blockheads,rock,0
20579,20613,ike turner,rock,0
20614,20747,imagine dragons,rock,61.3
20748,20754,in the dark,rock,0
20755,20905,incubus,rock,1.9
20906,20913,interceptor,rock,0
20914,21084,inxs,rock,1.7
21085,21088,ira,rock,3.4
21089,21298,iron maiden,rock,6.8
21299,21321,iron weasel,rock,0
21322,21338,isabella taviani,rock,1.3
21339,21455,james blunt,pop,7.2
21456,21548,james morrison,rock,1.9
21549,21632,janes addiction,rock,0.3
21633,21770,janis joplin,rock,4.3
21771,21944,jars of clay,rock,0.1
21945,22148,jerry lee lewis,rock,0.2
22149,22149,jesus generation,rock,0
